pre,post,in_resnet,in_fbk
ADAL,AVJR,0,1
ADAL,AVBR,1,0
ADAL,RIML,1,0
ADAL,RIPL,0,0
ADAL,AVAL,1,0
ADAL,AVBL,1,0
ADAL,AIBR,1,0
AVJR,AVBL,1,0
AVJR,PVCL,1,0
RIML,AVBL,1,0
RIML,RIBL,1,0
RIML,SAAVR,1,0
RIML,RMDR,1,0
RIML,AVBR,1,0
RIML,SMDDR,1,0
RIML,RMDL,1,0
RIML,SAAVL,1,0
RIML,AIBR,1,0
RIML,SMDDL,1,0
RIML,SMDVL,1,0
RIPL,RIH,1,0
AIBR,RIBL,1,0
AIBR,RIML,1,0
AIBR,SMDDL,1,0
ASHL,ADAL,1,0
ASHL,ADFL,0,0
ASHL,ADLL,0,0
ASHL,AIAL,0,0
ASHL,AIBL,0,0
ASHL,AVDR,1,0
ASHL,RIAL,0,0
ASHL,AVAL,0,0
ASHL,AVBL,1,0
ADEL,AVAR,1,0
ADEL,AVDL,0,0
ADEL,ADER,1,0
ADEL,AVAL,1,0
ADEL,RIGR,1,0
ADEL,AVEL,0,0
ADEL,OLLL,0,0
ADEL,RIGL,1,0
RMDL,RIAL,1,0
RMDL,RMDR,1,0
RMDL,RMDVR,1,0
RMDL,RIAR,1,0
RMDL,IL1R,0,0
ADER,ADEL,1,0
ADER,AVAL,1,0
ADER,RIGL,1,0
RIGR,AVKL,1,0
RIGR,BAGL,0,0
OLLL,CEPDL,1,0
OLLL,CEPVL,1,0
OLLL,RMDDL,1,0
OLLL,RMDVL,1,0
OLLL,RIBL,0,0
OLLL,SMDDR,0,0
OLLL,AVER,1,0
OLLL,SMDVR,0,0
RIGL,AIZL,1,0
RIGL,AVEL,1,0
RIGL,RIBL,1,0
RIGL,BAGR,0,0
RIGL,RIR,1,0
RIGL,AVKR,1,0
FLPL,ADEL,0,0
FLPL,AVAL,0,0
FLPL,AVAR,0,0
FLPL,DVA,0,0
ADFL,AIZL,1,0
ADFL,SMBVL,0,0
ADFL,RIAL,0,0
ADFL,AUAL,1,0
ADFL,RIR,0,0
ADFL,SMBDL,0,0
AIZL,AIAL,0,1
AIZL,AIBL,1,0
AIZL,RIML,1,0
AIZL,SMBVL,1,0
AIZL,RIAL,1,0
AIZL,AVER,1,0
AIZL,SMBDL,1,0
AIZL,AIBR,1,0
AIZL,ASEL,0,1
SMBVL,SAADL,1,0
SMBVL,RMEV,1,0
RIAL,RMDDL,1,0
RIAL,RMDVL,1,0
RIAL,RMDR,1,0
RIAL,SMDDR,1,0
RIAL,RMDL,1,0
RIAL,RIVR,1,0
RIAL,SIADL,1,0
RIAL,RMDVR,1,0
RIAL,RIAR,1,0
RIAL,SMDDL,1,0
RIAL,RMDDR,1,0
RIAL,SMDVL,1,0
RIAL,SMDVR,1,0
AUAL,AVAL,1,0
AUAL,RIBL,1,0
AUAL,RIAL,1,0
AUAL,AVEL,1,0
RIR,AIZL,1,0
RIR,RIAL,1,0
RIR,RIGL,1,0
RIR,URXL,0,0
SMBDL,SAAVR,1,0
SMBDL,RMED,1,0
AWBL,ADFL,1,0
AWBL,AIYL,1,0
AWBL,AIZL,1,0
ADLL,AVDR,0,0
ADLL,ASHL,0,0
ADLL,AIBL,1,0
ADLL,AIAL,1,0
ADLL,ASEL,1,0
AWCL,AIAL,1,0
AWCL,AIBL,1,0
AWCL,AIYL,1,0
AWCL,ASIL,1,0
AWCL,AWCR,1,0
AWCL,AIBR,1,0
AWCL,AIAR,1,0
AIBL,RIBR,1,0
AIBL,RIML,1,0
AIBL,SMDDR,1,0
AIBL,SAADL,1,0
AIBL,AVBL,1,0
AIBL,RIMR,1,0
AIAL,RIFL,0,0
AIAL,AWCL,0,1
AIAL,AIBL,1,0
AIAL,ASEL,0,1
ASEL,AIAL,1,0
ASEL,AIBL,1,0
ASEL,AIYL,1,0
AFDL,AIYL,1,0
AIYL,AFDL,0,1
AIYL,AIZL,1,0
AIYL,RIBL,1,0
AIYL,RIAL,0,0
AWAL,AFDL,1,0
AWAL,AIYL,1,0
AWAL,AIZL,1,0
AWAL,AWBL,1,0
AINR,AFDL,0,1
AINR,AUAL,1,0
AINR,RIBL,1,0
RIFL,AVBL,1,0
RIFL,AVJR,0,1
RIFL,RIML,1,0
ASKL,AIAL,1,0
ASKL,AIBL,1,0
ASKL,AIML,1,0
AWCR,AIAL,1,0
AWCR,AIBL,1,0
AWCR,AWCL,1,0
AIML,AIAL,1,0
AIML,ASKL,0,1
AIML,ASJL,0,1
AIML,ASGL,0,1
ASIL,AIAL,1,0
ASIL,AIBL,1,0
ASIL,ASGL,1,0
ASIL,AWCR,1,0
ASIL,AWCL,1,0
PVQL,AIAL,1,0
PVQL,ASKL,0,1
ASGL,AIAL,1,0
ASGL,AIBL,1,0
RIBR,AIBL,1,0
RIBR,AVEL,1,0
RIBR,BAGL,0,1
RIBR,SMDVL,1,0
SMDDR,RIAL,1,0
SMDDR,SMDVL,1,0
SMDVR,RIAL,1,0
SMDVR,SMDDL,1,0
SAADL,AVAL,1,0
SAADL,RIML,1,0
SAADL,RIMR,1,0
SAADL,OLLR,0,0
RIMR,AIBL,1,0
RIMR,AVBL,1,0
RIMR,RMDL,1,0
RIMR,SAAVL,1,0
RIMR,SMDDL,1,0
ADAR,AIBL,1,0
ADAR,AVBL,1,0
ADAR,AVJL,0,1
DVC,AIBL,1,0
DVC,AVAL,1,0
DVC,RIBL,1,0
DVC,RIGL,1,0
DVC,RMFL,1,0
AIZR,AIBL,1,0
AIZR,AVEL,1,0
ASJL,ASKL,1,0
ASJL,PVQL,1,0
AINL,AFDR,0,1
AINL,AUAR,1,0
AINL,RIBR,1,0
AINL,BAGL,0,1
BAGL,AVAR,0,0
BAGL,AVER,0,0
BAGL,RIAR,0,0
BAGL,RIBR,1,0
BAGL,RIGR,0,0
RIBL,AUAL,1,0
RIBL,AVAL,1,0
RIBL,AVEL,1,0
RIBL,RIAL,1,0
RIBL,BAGR,0,1
RIBL,SMDVR,1,0
RIBL,RIS,1,0
RIBL,AVER,1,0
RIBL,AIBR,1,0
RIH,AIZL,1,0
RIH,IL2L,0,1
RIH,OLQVL,0,1
RIH,RIAL,1,0
RIH,RIBL,1,0
RIH,RIPL,0,1
ALML,CEPVL,0,0
ALML,BDUL,1,0
ALML,PVCL,1,0
ALML,CEPDL,0,0
CEPVL,RMDDL,1,0
CEPVL,RICL,0,0
CEPVL,IL1VL,1,0
CEPVL,AVER,1,0
CEPVL,OLQVL,1,0
CEPVL,RICR,0,0
CEPVL,OLLL,1,0
BDUL,ALML,0,1
BDUL,AVJR,1,0
PVCL,AVBL,1,0
PVCL,AVER,1,0
PVCL,AVBR,1,0
PVCL,AVDR,1,0
CEPDL,OLQDL,1,0
CEPDL,RMDVL,1,0
CEPDL,RICL,0,0
CEPDL,AVER,1,0
CEPDL,URADL,1,0
CEPDL,IL1DL,1,0
CEPDL,RICR,0,0
CEPDL,OLLL,1,0
CEPDL,RMHR,0,0
CEPDL,URYDL,1,0
ALNL,SMBDR,1,0
ALNL,SAAVL,1,0
SMBDR,SAAVL,1,0
SAAVL,AVAL,1,0
SAAVL,RIML,1,0
SAAVL,SMDDR,1,0
SAAVL,RIMR,1,0
URXL,AUAL,1,0
URXL,AVEL,0,0
URXL,RIAL,0,0
URXL,RICL,0,0
URXL,RIGL,0,0
URXL,RIR,0,0
DVA,AUAL,1,0
DVA,AVEL,1,0
BAGR,AVAL,0,0
BAGR,AVEL,0,0
BAGR,RIAL,0,0
BAGR,RIBL,1,0
BAGR,RIGL,0,0
AQR,AVAL,0,0
AQR,AVBL,1,0
AQR,BAGL,0,0
AQR,PVCL,1,0
AQR,PVPL,1,0
AQR,RIAL,0,0
PVPR,AVAL,1,0
PVPR,AVBL,1,0
PVPR,AVHL,1,0
RICL,AVAL,1,0
RICL,AVAR,1,0
RICL,SMDDR,1,0
RICL,SMBDL,1,0
RICL,SMDDL,1,0
RICL,SMDVR,1,0
FLPR,AVAL,0,0
PVPL,AVAL,1,0
PVPL,AVBL,1,0
PVPL,PVCL,1,0
PVPL,AVAR,1,0
PVPL,AVBR,1,0
PVPL,AVHR,1,0
SDQR,AVAL,1,0
RICR,AVAL,1,0
RICR,SMDDL,1,0
RICR,SMDVL,1,0
AVM,AVBL,1,0
AVM,BDUL,1,0
AVM,PVCL,1,0
PVCR,AVBL,1,0
PVCR,AVDL,1,0
PVCR,AVEL,1,0
AVFL,AVBL,1,0
AVFL,AVFR,1,0
RIFR,AVJL,0,1
AVJL,AVBL,1,0
AVJL,AVBR,1,0
AVJL,PVCR,1,0
ADLR,AVDL,0,0
ASHR,AVDL,1,0
CEPDR,AVEL,1,0
CEPDR,RICL,0,0
CEPDR,RMHL,0,0
ALA,AVEL,1,0
CEPVR,AVEL,1,0
CEPVR,RICL,0,0
OLLR,AVEL,1,0
OLLR,SMDDL,0,0
OLLR,SMDVL,0,0
RIS,AVEL,1,0
RIS,AVKL,1,0
RIS,CEPVL,0,0
RIS,RIBL,1,0
RIS,RIML,1,0
RIS,RMDL,1,0
RIS,SMDVL,1,0
RMGL,AVEL,1,0
RMGL,RMDL,1,0
RMGL,RMDVL,1,0
RMGL,RMDR,1,0
URYVR,AVEL,1,0
URYVR,RMDVL,1,0
URYVR,SMDVL,0,0
URYDR,AVEL,1,0
URYDR,RMDDL,1,0
URYDR,SMDDL,0,0
AVFR,AVFL,1,0
AVHL,RIR,1,0
AVHL,PVPR,1,0
AVHL,SMBVR,1,0
BDUR,AVJL,1,0
AVKL,RIML,1,0
AVKL,SAADR,1,0
AVKL,RIMR,1,0
SAADR,OLLL,0,0
SAADR,RIML,1,0
RMFR,AVKL,1,0
RMFR,RMDL,1,0
PVT,AVKL,1,0
PVT,RIGL,1,0
PVT,RMFL,1,0
RMFL,AVKL,1,0
RMFL,RMDR,1,0
RMFL,AVKR,1,0
ASIR,AWCL,1,0
RIAR,RIAL,1,0
RIAR,RIVL,1,0
RIAR,RMDDL,1,0
RIAR,RMDL,1,0
RIAR,RMDVL,1,0
RIAR,SMDDL,1,0
RIAR,SMDVL,1,0
OLQDL,RMDDR,1,0
OLQDL,RICR,0,0
OLQDL,SIBVL,0,0
RMDVL,RMDDR,1,0
URADL,RIPL,1,0
IL1DL,RMDVL,1,0
IL1DL,RIPL,1,0
RMHR,RMDL,1,0
URYDL,RMDVL,1,0
URYDL,AVER,1,0
URYDL,SMDDR,0,0
URYDL,RMDDR,1,0
URBL,CEPDL,0,0
URBL,IL1L,0,0
URBL,URXL,0,0
URBL,RICR,1,0
RMDDL,RMDVR,1,0
IL1VL,RMDDL,1,0
IL1VL,URAVL,1,0
IL1VL,RIPL,1,0
URAVL,RIPL,1,0
URAVL,RMER,1,0
OLQVL,RICL,0,0
OLQVL,RMDVR,1,0
IL2DL,IL1DL,1,0
IL2DL,URADL,1,0
IL2DL,RIPL,1,0
IL1L,RMDDL,1,0
IL1L,RMDVL,1,0
IL1L,RMDR,0,0
IL1L,RMDVR,1,0
RMDR,IL1L,0,0
RMDR,RIAL,1,0
RMDR,RMDL,1,0
RMDR,RMDVL,1,0
RMDVR,RMDDL,1,0
IL2L,IL1L,1,0
IL2L,OLQDL,1,0
IL2L,RIH,1,0
URYVL,IL1VL,1,0
URYVL,RIBL,0,0
URYVL,RMDDL,1,0
URYVL,AVER,1,0
URYVL,SMDVR,0,0
URYVL,RMDVR,1,0
IL2VL,IL1VL,1,0
IL2VL,RMEV,1,0
IL2VL,RMEL,1,0
IL2VL,URAVL,1,0
IL2VL,RIPL,1,0
IL2VL,RMER,1,0
RMDDR,RMDVL,1,0
AVHR,PVPL,1,0
AVHR,SMBVL,1,0
RIVR,RIAL,1,0
RIVR,SAADL,1,0
RIVR,SIAVL,1,0
SMDDL,RIAL,1,0
SMDDL,RIML,1,0
SMDDL,RIAR,1,0
SMDDL,SMDVR,1,0
SMDVL,RIAL,1,0
SMDVL,RIAR,1,0
SMDVL,SMDDR,1,0
OLQDR,RICL,0,0
OLQDR,RMDDL,1,0
URBR,RICL,1,0
AVKR,RIML,1,0
AVKR,SAADL,1,0
SAAVR,RIML,1,0
SAAVR,SMDDL,1,0
RIVL,RMDVL,1,0
RIVL,SAADR,1,0
RIVL,SIAVR,1,0
RIVL,RIAR,1,0
RIVL,RMDL,1,0
RIVL,SMDVL,1,0
IL1R,RMDL,0,0
IL1R,RMDVL,1,0
RMGR,RMDL,1,0
OLQVR,RMDVL,1,0
IL2VR,RMEL,1,0
URAVR,RMEL,1,0
RMHL,RMDR,1,0
SDQL,AVAR,1,0
RMED,SMDDL,1,0
ALNR,SMBDL,1,0
